rank,feature,mean_abs_shap,mean_shap
1,Follicle No. (R),0.08271722752770988,-0.022293560104299563
2,Skin darkening (Y/N),0.06994899402438425,-0.009528203618511182
3,Weight gain(Y/N),0.06393164656498172,-0.013879903039624903
4,Follicle No. (L),0.05880691772871938,-0.009987865991120379
5,hair growth(Y/N),0.0564844601771095,0.008845039511898913
6,Cycle(R/I),0.038442986657722895,-0.0172027159393733
7,Fast food (Y/N),0.030028898941555027,-0.001004499813276447
8,Pimples(Y/N),0.0220568138548715,-0.003189546510232735
9,Cycle length(days),0.0120787985813282,-0.002340703651978728
10,Reg.Exercise(Y/N),0.011746588350573866,-0.004201929183491156
11,AMH(ng/mL),0.011745840065654302,-0.0020669465637349403
12,Avg. F size (L) (mm),0.009269063214500481,-0.0014113285757959395
13,Age (yrs),0.007686888000478383,-0.002927686930815339
14,Hair loss(Y/N),0.007663527768241062,-0.0025203720677724408
15,Marraige Status (Yrs),0.007460727128998894,0.0024395078289980603
16,Hip(inch),0.0073325938233499335,-0.002735540388372345
17,BP _Diastolic (mmHg),0.007080948318923497,-0.0036555596447897256
18,Avg. F size (R) (mm),0.006118256451603612,-0.0010296294838376184
19,Endometrium (mm),0.005924383788431243,-0.0003451263270422821
20,Waist(inch),0.005171231672412692,-0.0016325765228432938
21,No. of aborptions,0.0051273186306277285,-0.0001745122050192661
22,Insulin Resistance(Y/N),0.0046636905374955046,-0.0011977673357418494
23,Weight (Kg),0.0040496875499150195,-0.0019964195800034686
24,BMI,0.003526477404944467,-0.0010689956221731735
25,RR (breaths/min),0.0033932631025293987,-0.0007713957634139285
26,Hb(g/dl),0.0033877458401696827,9.212969389588568e-05
27,Height(Cm),0.0032560732589841015,-0.0007536005805477719
28,Waist:Hip Ratio,0.003247942471202585,-0.0008003794866233039
29,FSH(mIU/mL),0.0032106492854093206,-4.435018339179272e-05
30,TSH (mIU/L),0.003071107065212858,-0.0005101610465871277
31,LH(mIU/mL),0.002798072196909895,-8.190570496998626e-05
32,PRL(ng/mL),0.002597047323047683,-0.0013748724565955188
33,Pulse rate(bpm),0.002467310885651374,-0.0012843008053065941
34,RBS(mg/dl),0.0023738809804108433,-0.0005131883429022444
35,Vit D3 (ng/mL),0.0021995334581238215,-0.00036495612666137995
36,Pregnant(Y/N),0.0021747196454131616,-0.0008577835430570002
37,PRG(ng/mL),0.0021197949100364103,-0.00011817921975761476
38,BP _Systolic (mmHg),0.0020428206341410616,-0.0005790983048858299
39,FSH/LH,0.0017872125069143235,-9.326271493434061e-05
40,Blood Group,0.0017242932315252979,-0.000253832537534846
